Clasificación del país,Deportista,Disciplina,Edición,,,,Total
1,Mariana Pajón,Ciclismo,Río de Janeiro 2016   Londres 2012,2,0,0,2
2,Óscar Figueroa,Halterofilia,Río de Janeiro 2016  Londres 2012,1,1,0,2
2,Caterine Ibargüen,Atletismo,Río de Janeiro 2016  Londres 2012,1,1,0,2
3,María Isabel Urrutia,Halterofilia,Sídney 2000,1,0,0,1
4,Helmut Bellingrodt,Tiro deportivo,Los Ángeles 1984   Múnich 1972,0,2,0,2
5,Yuri Alvear,Judo,Río de Janeiro 2016  Londres 2012,0,1,1,2
6,Yuberjen Martínez,Boxeo,Río de Janeiro 2016,0,1,0,1
6,Rigoberto Urán,Ciclismo,Londres 2012,0,1,0,1
6,Diego Salazar,Halterofilia,Pekín 2008,0,1,0,1
6,Leidy Solís,Halterofilia,Pekín 2008,0,1,0,1
7,Jackeline Rentería,Lucha,Londres 2012  Pekín 2008,0,0,2,2
8,Clemente Rojas,Boxeo,Múnich 1972,0,0,1,1
8,Alfonso Pérez,Boxeo,Múnich 1972,0,0,1,1
8,Jorge Julio Rocha,Boxeo,Seúl 1988,0,0,1,1
8,Ximena Restrepo,Atletismo,Barcelona 1992,0,0,1,1
8,Mabel Mosquera,Halterofilia,Atenas 2004,0,0,1,1
8,María Luisa Calle,Ciclismo,Atenas 2004,0,0,1,1
8,Óscar Muñoz,Taekwondo,Londres 2012,0,0,1,1
8,Carlos Oquendo,Ciclismo,Londres 2012,0,0,1,1
8,Ubaldina Valoyes,Halterofilia,Londres 2012,0,0,1,1
8,Carlos Ramírez Yepes,Ciclismo,Río de Janeiro 2016,0,0,1,1
8,Luis Mosquera,Halterofilia,Río de Janeiro 2016,0,0,1,1
8,Ingrit Valencia,Boxeo,Río de Janeiro 2016,0,0,1,1
